品名,最低价,平均价,最高价,单位,发布日期
娃娃菜,1.2,1.35,1.5,斤,2022-01-23 00:00:00
小白菜,1.6,1.8,2.0,斤,2022-01-23 00:00:00
圆白菜,1.5,1.6,1.7,斤,2022-01-23 00:00:00
圆白菜,0.8,0.9,1.0,斤,2022-01-23 00:00:00
紫甘蓝,1.4,1.45,1.5,斤,2022-01-23 00:00:00
芹菜,1.8,1.9,2.0,斤,2022-01-23 00:00:00
西芹,3.0,3.1,3.2,斤,2022-01-23 00:00:00
菠菜,3.0,3.15,3.3,斤,2022-01-23 00:00:00
莴笋,1.8,2.4,3.0,斤,2022-01-23 00:00:00
团生菜,1.5,2.0,2.5,斤,2022-01-23 00:00:00
散叶生菜,3.0,3.5,4.0,斤,2022-01-23 00:00:00
罗马生菜,1.8,1.9,2.0,斤,2022-01-23 00:00:00
油菜,1.8,1.9,2.0,斤,2022-01-23 00:00:00
香菜,5.0,6.0,7.0,斤,2022-01-23 00:00:00
茴香,4.5,4.75,5.0,斤,2022-01-23 00:00:00
韭菜,3.0,3.5,4.0,斤,2022-01-23 00:00:00
苦菊,5.0,5.25,5.5,斤,2022-01-23 00:00:00
油麦菜,3.0,3.5,4.0,斤,2022-01-23 00:00:00
黄心菜,0.8,1.15,1.5,斤,2022-01-23 00:00:00
散菜花,2.0,2.5,3.0,斤,2022-01-23 00:00:00
绿菜花,2.5,2.75,3.0,斤,2022-01-23 00:00:00
绿豆芽,0.95,0.98,1.0,斤,2022-01-23 00:00:00
黄豆芽,0.85,0.88,0.9,斤,2022-01-23 00:00:00
番茄,5.0,5.5,6.0,斤,2022-01-23 00:00:00
番茄,6.0,6.35,6.7,斤,2022-01-23 00:00:00
黄瓜,5.0,5.75,6.5,斤,2022-01-23 00:00:00
黄瓜,5.5,6.25,7.0,斤,2022-01-23 00:00:00
小黄瓜,6.6,6.8,7.0,斤,2022-01-23 00:00:00
茄子,1.8,3.0,4.2,斤,2022-01-23 00:00:00
长茄,2.5,3.0,3.5,斤,2022-01-23 00:00:00
广茄,2.5,3.05,3.6,斤,2022-01-23 00:00:00
线茄,2.2,3.5,4.8,斤,2022-01-23 00:00:00
冬瓜,1.3,1.35,1.4,斤,2022-01-23 00:00:00
冬瓜,0.9,0.95,1.0,斤,2022-01-23 00:00:00
毛冬瓜,2.3,2.65,3.0,斤,2022-01-23 00:00:00
架豆,5.0,6.0,7.0,斤,2022-01-23 00:00:00
豆王,4.8,5.9,7.0,斤,2022-01-23 00:00:00
扁豆,5.0,6.25,7.5,斤,2022-01-23 00:00:00
白不老,5.0,6.25,7.5,斤,2022-01-23 00:00:00
油豆,6.0,6.75,7.5,斤,2022-01-23 00:00:00
毛豆,5.0,5.5,6.0,斤,2022-01-23 00:00:00
玉米,2.5,2.75,3.0,斤,2022-01-23 00:00:00
花生,5.0,5.25,5.5,斤,2022-01-23 00:00:00
苦瓜,7.0,7.25,7.5,斤,2022-01-23 00:00:00
丝瓜,6.0,6.5,7.0,斤,2022-01-23 00:00:00
西葫芦,3.0,3.3,3.6,斤,2022-01-23 00:00:00
佛手瓜,2.0,2.2,2.4,斤,2022-01-23 00:00:00
贝贝南瓜,2.5,2.65,2.8,斤,2022-01-23 00:00:00
金丝南瓜,1.4,1.5,1.6,斤,2022-01-23 00:00:00
板栗南瓜,2.0,2.15,2.3,斤,2022-01-23 00:00:00
南北瓜,0.8,0.95,1.1,斤,2022-01-23 00:00:00
尖椒,4.7,5.6,6.5,斤,2022-01-23 00:00:00
红尖椒,5.0,5.5,6.0,斤,2022-01-23 00:00:00
美人椒,15.0,15.5,16.0,斤,2022-01-23 00:00:00
螺丝椒,6.0,7.0,8.0,斤,2022-01-23 00:00:00
柿子椒,3.4,4.2,5.0,斤,2022-01-23 00:00:00
线椒,4.0,5.0,6.0,斤,2022-01-23 00:00:00
小米椒,17.0,17.5,18.0,斤,2022-01-23 00:00:00
彩椒,7.0,7.5,8.0,斤,2022-01-23 00:00:00
白萝卜,0.55,0.65,0.75,斤,2022-01-23 00:00:00
心里美,1.5,1.6,1.7,斤,2022-01-23 00:00:00
卞萝卜,1.0,1.05,1.1,斤,2022-01-23 00:00:00
青萝卜,2.4,2.6,2.8,斤,2022-01-23 00:00:00
胡萝卜,1.0,1.35,1.7,斤,2022-01-23 00:00:00
胡萝卜,1.3,1.5,1.7,斤,2022-01-23 00:00:00
土豆,0.7,0.85,1.0,斤,2022-01-23 00:00:00
土豆,1.0,1.15,1.3,斤,2022-01-23 00:00:00
葱头,0.7,0.77,0.85,斤,2022-01-23 00:00:00
葱头,0.8,0.9,1.0,斤,2022-01-23 00:00:00
山药,2.4,3.1,3.8,斤,2022-01-23 00:00:00
